Date,España,Italia,Francia
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,6593
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,24
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,55
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,1456
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,18346
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,3541282
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,16456
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,6593
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,24
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,475
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,9455
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,9
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,11562
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,14492
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,18346
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,1456
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,15365
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,16529
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,6593
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,55
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,24
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,475
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,3562707
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,9
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,11562
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,9455
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,55
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,3584326
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,15792
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,6593
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,475
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,9
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,9455
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,24
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,16529
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,18346
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,1456
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,11562
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,16529
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,9
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,3588972
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,6593
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,11562
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,24
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,55
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,9455
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,1456
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,15792
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,475
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,18354
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,16529
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,533
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,16349
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,18362
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,11562
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,3608271
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,9
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,24
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,55
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,6646
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,9610
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,1519
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,6646
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,3639501
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,1519
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,55
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,18370
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,24
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,9
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,16529
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,533
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,9610
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,11562
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,16638
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,3664050
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,57
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,16638
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,9610
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,12416
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,24
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,9
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,1519
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,16529
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,533
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,6646
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,18379
